[0]124.157 [1]130.724 [2]124.547 [3]127.725 [4]129.526 [5]131.188 [6]127.516 [7]129.881 [8]127.974 [9]126.342 [10]126.934 [11]129.285 [12]130.109 [13]129.049 [14]131.597 [15]133.483 [16]131.497 [17]135.648 [18]124.67 [19]126.523 [20]114.672 
[0]127.992 [1]132.812 [2]128.217 [3]128.574 [4]132.897 [5]126.738 [6]127.77 [7]131.88 [8]127.912 [9]124.508 [10]128.405 [11]129.207 [12]126.705 [13]129.546 [14]131.954 [15]129.263 [16]130.847 [17]134.369 [18]127.934 [19]128.546 [20]107.526 
[0]133.94 [1]128.812 [2]123.336 [3]127.001 [4]128.017 [5]126.625 [6]128.87 [7]125.67 [8]130.175 [9]127.321 [10]131.777 [11]130.645 [12]127.448 [13]126.768 [14]132.128 [15]126.981 [16]125.841 [17]130.143 [18]128.727 [19]127.864 [20]108.075 
[0]133.785 [1]128.03 [2]129.755 [3]125.564 [4]126.861 [5]129.454 [6]133.312 [7]130.969 [8]125.39 [9]124.679 [10]123.251 [11]129.007 [12]130.839 [13]130.808 [14]125.471 [15]125.702 [16]128.683 [17]125.929 [18]127.011 [19]131.448 [20]110.397 
[0]125.342 [1]126.184 [2]125.512 [3]130.699 [4]127.987 [5]129.785 [6]132.236 [7]132.339 [8]125.315 [9]123.845 [10]123.947 [11]127.076 [12]130.665 [13]122.322 [14]130.987 [15]131.113 [16]131.739 [17]128.51 [18]126.946 [19]130.925 [20]111.017 
[0]126.745 [1]129.858 [2]126.679 [3]132.255 [4]126.27 [5]124.561 [6]129.782 [7]125.312 [8]128.475 [9]129.173 [10]130.559 [11]125.321 [12]126.738 [13]125.382 [14]124.039 [15]126.78 [16]126.172 [17]130.89 [18]132.726 [19]128.652 [20]111.522 
[0]126.268 [1]127.755 [2]128.451 [3]125.788 [4]127.952 [5]129.28 [6]128.068 [7]132.435 [8]131.63 [9]127.757 [10]126.956 [11]124.397 [12]127.687 [13]124.634 [14]128.059 [15]131.906 [16]124.514 [17]133.49 [18]128.2 [19]124.878 [20]111.572 
[0]128.482 [1]127.981 [2]131.067 [3]125.458 [4]129.462 [5]133.559 [6]132.887 [7]127.593 [8]125.191 [9]128.443 [10]129.826 [11]124.34 [12]132.899 [13]128.683 [14]128.876 [15]129.571 [16]126.727 [17]128.188 [18]127.696 [19]124.152 [20]113.26 
[0]131.691 [1]128.81 [2]127.919 [3]134.574 [4]124.861 [5]128.767 [6]124.644 [7]129.03 [8]125.528 [9]131.88 [10]127.969 [11]128.025 [12]127.287 [13]132.764 [14]128.867 [15]131.177 [16]129.954 [17]129.364 [18]125.984 [19]122.734 [20]109.601 
[0]129.826 [1]124.621 [2]124.412 [3]126.007 [4]130.25 [5]131.343 [6]128.078 [7]127.942 [8]130.746 [9]127.737 [10]129.982 [11]130.75 [12]131.168 [13]125.253 [14]130.236 [15]128.253 [16]129.02 [17]133.291 [18]124.045 [19]130.092 [20]114.585 
[0]126.214 [1]132.451 [2]130.764 [3]131.863 [4]125.61 [5]125.398 [6]127.606 [7]128.785 [8]128.683 [9]132.317 [10]129.331 [11]129.065 [12]128.66 [13]128.802 [14]131.443 [15]129.524 [16]128.61 [17]128.979 [18]127.068 [19]124.352 [20]111.235 
[0]130.883 [1]129.175 [2]122.72 [3]130.533 [4]132.062 [5]125.602 [6]127.382 [7]125.033 [8]130.931 [9]131.653 [10]129.758 [11]125.381 [12]128.605 [13]126.109 [14]131.531 [15]126.402 [16]129.747 [17]124.233 [18]127.686 [19]134.506 [20]113.142 
[0]129.214 [1]128.242 [2]126.229 [3]130.711 [4]131.731 [5]130.518 [6]129.824 [7]126.443 [8]128.906 [9]134.622 [10]126.772 [11]127.935 [12]128.987 [13]121.75 [14]129.627 [15]123.917 [16]128.31 [17]126.394 [18]128.047 [19]129.872 [20]113.475 
[0]133.349 [1]124.121 [2]125.786 [3]130.714 [4]125.464 [5]133.49 [6]127.661 [7]125.109 [8]132.248 [9]124.515 [10]126.551 [11]129.492 [12]123.002 [13]124.868 [14]127.042 [15]125.813 [16]127.214 [17]130.813 [18]128 [19]126.678 [20]110.071 
[0]128.133 [1]122.481 [2]130.637 [3]130.246 [4]129.299 [5]126.824 [6]124.715 [7]132.25 [8]131.191 [9]124.206 [10]131.519 [11]125.238 [12]127.58 [13]132.641 [14]127.162 [15]130.276 [16]125.407 [17]127.818 [18]127.36 [19]125.248 [20]112.787 
